""	"logFC"	"logCPM"	"PValue"	"FDR"
"Zm00001eb138510"	-3.73391337661507	3.43771903182051	1.6750824763555e-07	0.00010727580827523
"Zm00001eb170770"	-3.70043890396362	3.86620396878541	1.75701994544155e-07	0.000109638044595553
"Zm00001eb113780"	-3.61730036541159	4.73832048220792	2.04196890827887e-07	0.000124233388379686
"Zm00001eb027780"	8.6846336708729	-0.0484183936397771	2.16888180130686e-07	0.000128146313539432
"Zm00001eb215860"	3.75154916901492	3.06686548008028	2.23440143674236e-07	0.000128146313539432
"Zm00001eb048370"	3.68458825844762	3.6701756333937	2.2642552112901e-07	0.000128146313539432
"Zm00001eb135430"	-4.69492786383201	0.930580693938275	2.57549176884931e-07	0.000141285439531833
"Zm00001eb356600"	-4.42341496566091	1.23231678027628	2.61252661856201e-07	0.000141285439531833
"Zm00001eb149500"	-4.13081606272302	1.67047370921152	3.10313839954469e-07	0.000164169513241999
"Zm00001eb067380"	-3.59905520847528	3.72559894957745	3.44151171382508e-07	0.000178197083122654
"Zm00001eb019880"	-4.84379806319902	0.682019699402723	3.69900579419356e-07	0.000187539593765614
"Zm00001eb106430"	-3.48426288320371	5.64354548275738	3.94427080897774e-07	0.000195893417157719
"Zm00001eb168980"	-3.82584930688259	2.04965137246455	4.15781535477224e-07	0.000202369188947475
"Zm00001eb165030"	3.60910229026562	3.42188768837698	4.2963178885577e-07	0.000205010180658706
"Zm00001eb163440"	-4.25149651868246	1.28546448359706	4.44525444452548e-07	0.000208037908003793
"Zm00001eb322810"	-4.79140742288373	0.633226306090036	5.0389693776909e-07	0.000231374261840539
"Zm00001eb362750"	-3.52378561773105	3.8776554766076	5.25419580738937e-07	0.000236789091053014
"Zm00001eb217970"	-3.43046576116144	5.59428777352013	5.5902533950125e-07	0.00024735346658368
"Zm00001eb123400"	-3.66797453291248	2.47937463331498	6.15778769931285e-07	0.000267599859732995
"Zm00001eb350770"	3.56641834039956	2.94077151747395	6.94721552020312e-07	0.000296609538420462
