A0A1D6F1S8	A0A1D6F1S8_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb109440			Uncharacterized protein				
A0A1D6F1S9	A0A1D6F1S9_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb109440			Uncharacterized protein				
A0A1D6F1T0	A0A1D6F1T0_MAIZE	unreviewed	100501175	Zea mays (Maize)	Zm00001eb109440	100501175		Uncharacterized protein				
A0A1D6F1T1	A0A1D6F1T1_MAIZE	unreviewed	100501175	Zea mays (Maize)	Zm00001eb109440	100501175		Uncharacterized protein				
A0A1D6F1T2	A0A1D6F1T2_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb109440			Uncharacterized protein				
A0A1D6F1W3	A0A1D6F1W3_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb198090			Protein-serine/threonine phosphatase (EC 3.1.3.16)				
A0A1D6F273	A0A1D6F273_MAIZE	unreviewed	103647882	Zea mays (Maize)	Zm00001eb109980	103647882		Putative plant SNARE 13				
A0A1D6F2B9	A0A1D6F2B9_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb110240			Ubiquitin-protein ligase CIP8				
A0A1D6F436	A0A1D6F436_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb111110			FPF1-like protein 1				
A0A1D6F4K1	A0A1D6F4K1_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb111670			Hydroxyproline-rich glycoprotein family protein				
A0A1D6F4K3	A0A1D6F4K3_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb111670			Hydroxyproline-rich glycoprotein family protein				
A0A1D6F525	A0A1D6F525_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb112080			Two-component response regulator-like APRR3				
A0A1D6F534	A0A1D6F534_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb112120			Receptor like protein 1				
A0A1D6F553	A0A1D6F553_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb168100			"Chlorophyll a-b binding protein, chloroplastic"				
A0A1D6F5G9	A0A1D6F5G9_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb027080			Dihydrofolate reductase (EC 1.5.1.3)				
A0A1D6F5H2	A0A1D6F5H2_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb027080			Dihydrofolate reductase (EC 1.5.1.3)				
A0A1D6F6I1	A0A1D6F6I1_MAIZE	unreviewed	100383277	Zea mays (Maize)	Zm00001eb113780	100383277		Adagio protein 3				
A0A1D6F7C2	A0A1D6F7C2_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb114950			Methyltransferase (EC 2.1.1.-)				
A0A1D6F7E3	A0A1D6F7E3_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb096640			Uncharacterized protein				
A0A1D6F7M7	A0A1D6F7M7_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb115210			Uncharacterized protein				
A0A1D6F803	A0A1D6F803_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb046720			Uncharacterized protein				
A0A1D6F809	A0A1D6F809_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb113150			AAA-type ATPase family protein				
A0A1D6F813	A0A1D6F813_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb113150			AAA-type ATPase family protein				
A0A1D6F835	A0A1D6F835_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb113150			AAA-type ATPase family protein				
A0A1D6F843	A0A1D6F843_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb113150			AAA-type ATPase family protein (Fragment)				
A0A1D6F8W1	A0A1D6F8W1_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb116670			Receptor-like kinase-like				
A0A1D6F8W4	A0A1D6F8W4_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb116670			Receptor-like kinase-like				
A0A1D6F8X5	A0A1D6F8X5_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb116790			Uncharacterized protein				
A0A1D6F9P6	A0A1D6F9P6_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb117200			Aspartic proteinase A1				
A0A1D6FB26	A0A1D6FB26_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb032430			Uncharacterized protein				
A0A1D6FHE6	A0A1D6FHE6_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb099750			Ubiquitin carrier protein 7				
A0A1D6FM53	A0A1D6FM53_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb000310			Uncharacterized protein				
A0A1D6FQJ7	A0A1D6FQJ7_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb208650			Uncharacterized protein				
A0A1D6FQP4	A0A1D6FQP4_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb051940			Cysteine-rich receptor-like protein kinase 29				
A0A1D6FYV9	A0A1D6FYV9_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb000560			ABC transporter G family member 40				
A0A1D6FYW6	A0A1D6FYW6_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb000560			ABC transporter G family member 40				
A0A1D6FYW9	A0A1D6FYW9_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb000560			ABC transporter G family member 40				
A0A1D6G1Q6	A0A1D6G1Q6_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb037190			Uncharacterized protein				
A0A1D6G1S4	A0A1D6G1S4_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb037190			Uncharacterized protein				
A0A1D6G1V0	A0A1D6G1V0_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb037190			Uncharacterized protein				
A0A1D6G1V1	A0A1D6G1V1_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb037190			Uncharacterized protein				
A0A1D6G1V9	A0A1D6G1V9_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb037190			Uncharacterized protein				
A0A1D6G1X3	A0A1D6G1X3_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb011870			Uncharacterized protein				
A0A1D6G996	A0A1D6G996_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb015770			"Phosphoglycerate mutase (2,3-diphosphoglycerate-independent) (EC 5.4.2.12)"				
A0A1D6GAE1	A0A1D6GAE1_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb101870			Uncharacterized protein				
A0A1D6GFI9	A0A1D6GFI9_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb031210			Basic leucine zipper 25				
A0A1D6GFJ0	A0A1D6GFJ0_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb031210			Basic leucine zipper 25				
A0A1D6GHG8	A0A1D6GHG8_MAIZE	unreviewed		Zea mays (Maize)	Zm00001eb065190			Myosin-12				
