""	"x"
"305"	"Wickerhamomyces ciferrii"
"306"	"Wallemia sebi"
"307"	"Yarrowia lipolytica"
"308"	"Drosophila pseudoobscura pseudoobscura"
"309"	"Gorilla gorilla gorilla"
"310"	"Canis lupus familiaris"
"311"	"Trichechus manatus latirostris"
"312"	"Saimiri boliviensis"
"313"	"Alligator mississippiensis"
"314"	"Chrysemys picta bellii"
"315"	NA
"316"	"Chlorocebus sabaeus"
"317"	"Poecilia formosa"
"318"	"Erwinia carotovora"
"319"	"mus musculus 129s1svimj"
"320"	"mus musculus aj"
"321"	"mus musculus akrj"
"322"	"mus musculus balbcj"
"323"	"mus musculus c3hhej"
"324"	"mus musculus c57bl6nj"
"325"	"mus musculus casteij"
"326"	"mus musculus cbaj"
"327"	"mus musculus dba2j"
"328"	"mus musculus fvbnj"
"329"	"mus musculus lpj"
"330"	"mus musculus nodshiltj"
"331"	"mus musculus nzohlltj"
"332"	"mus musculus pwkphj"
"333"	"mus musculus wsbeij"
"334"	"mus spretus spreteij"
"335"	"mustela putorius furo"
"336"	"Carlito syrichta"
"337"	"Notamacropus eugenii"
"338"	"Cavia aperea"
"339"	"Chinchilla lanigera"
"340"	"cricetulus griseus chok1gshd"
"341"	"cricetulus griseus crigri"
"342"	"Fukomys damarensis"
"343"	"heterocephalus glaber female"
"344"	"heterocephalus glaber male"
"345"	"Jaculus jaculus"
"346"	"Mesocricetus auratus"
"347"	"Microtus ochrogaster"
"348"	"Mus caroli"
"349"	"Mus pahari"
"350"	"Nannospalax galili"
"351"	"Octodon degus"
"352"	"peromyscus maniculatus bairdii"
"353"	"Aotus nancymaae"
"354"	"Cebus capucinus"
"355"	"Cercocebus atys"
"356"	"colobus angolensis palliatus"
"357"	"Macaca fascicularis"
"358"	"Macaca nemestrina"
"359"	"Mandrillus leucophaeus"
"360"	"Pan paniscus"
"361"	"Propithecus coquereli"
"362"	"Rhinopithecus bieti"
"363"	"Rhinopithecus roxellana"
"364"	"saimiri boliviensis boliviensis"
"365"	"Capra hircus"
"366"	"Mus spretus"
"367"	"Eptatretus burgeri"
"368"	"Panthera pardus"
"369"	"panthera tigris altaica"
"370"	"Acanthochromis polyacanthus"
"371"	"Amphilophus citrinellus"
"372"	"Amphiprion ocellaris"
"373"	"Amphiprion percula"
"374"	"Anabas testudineus"
"375"	"Astatotilapia calliptera"
"376"	"Cynoglossus semilaevis"
"377"	"Cyprinodon variegatus"
"378"	"Esox lucius"
"379"	"Fundulus heteroclitus"
"380"	"Gambusia affinis"
"381"	"Haplochromis burtoni"
"382"	"Hippocampus comes"
"383"	"Ictalurus punctatus"
"384"	"Kryptolebias marmoratus"
"385"	"Labrus bergylta"
"386"	"Mastacembelus armatus"
"387"	"Maylandia zebra"
"388"	"Mola mola"
"389"	"Monopterus albus"
"390"	"Neolamprologus brichardi"
"391"	"oryzias latipes hni"
"392"	"oryzias latipes hsok"
"393"	"Oryzias melastigma"
"394"	"Paramormyrops kingsleyae"
"395"	"Periophthalmus magnuspinnatus"
"396"	"Poecilia latipinna"
"397"	"Poecilia mexicana"
"398"	"Poecilia reticulata"
"399"	"Pundamilia nyererei"
"400"	"Pygocentrus nattereri"
"401"	"Scleropages formosus"
"402"	"Scophthalmus maximus"
"403"	"Seriola dumerili"
"404"	"seriola lalandi dorsalis"
"405"	"Stegastes partitus"
"406"	"Xiphophorus couchianus"
"407"	"Cebus capucinus imitator"
"408"	"Aspergillus versicolor"
"409"	"Aspergillus sydowii"
"410"	"Phytophthora cinnamomi"
"411"	"Trypanosoma vivax"
