"logFC"	"logCPM"	"PValue"	"FDR"
"Zm00001eb406950"	2.43016727937681	5.38619885797985	9.03659045532696e-06	0.00156117857961553
"Zm00001eb231110"	2.48037402932689	3.88673508431189	9.23963513670365e-06	0.00158547144548463
"Zm00001eb370870"	2.44524901994427	4.64069082709101	9.58930222897494e-06	0.00163442898930904
"Zm00001eb180950"	2.53404707834577	3.15877781542693	9.84131622840662e-06	0.0016662004462441
"Zm00001eb048560"	-2.71369278198221	1.87288258820936	9.91946520649707e-06	0.00166778849332932
"Zm00001eb283480"	3.06477913611023	1.01425298241013	1.00197344217101e-05	0.00166778849332932
"Zm00001eb122680"	2.41357545534789	5.548641716479	1.00477098550711e-05	0.00166778849332932
"Zm00001eb340140"	-2.56031307618536	2.70310744635495	1.01498746883465e-05	0.00167380660769642
"Zm00001eb287790"	-2.75398691763548	1.61749914790713	1.02524255709745e-05	0.00167981032129334
"Zm00001eb391230"	2.46460341597067	3.86038361909476	1.07244578580916e-05	0.00174588674207753
"Zm00001eb281980"	-2.61919604642697	2.16105305843907	1.10604416416125e-05	0.00178911449637191
"Zm00001eb324090"	-2.38985995534852	6.08654634405547	1.13185387395759e-05	0.00181927601158399
"Zm00001eb252920"	-3.06914139245411	0.785962539611908	1.15061740494476e-05	0.00183780374943252
"Zm00001eb281140"	2.98700571611509	1.07778676446475	1.16887239283766e-05	0.00185529270553158
"Zm00001eb338780"	2.94588305422706	1.16178251937758	1.20951437676028e-05	0.00190787746038534
"Zm00001eb433540"	-2.38204505576545	5.49323289829764	1.2611453603072e-05	0.00197703997347912
"Zm00001eb146850"	2.57781067233429	2.4562414207672	1.3192673054469e-05	0.00205546702387298
"Zm00001eb171850"	7.61199767190372	-0.854663194243516	1.44320652367268e-05	0.00223485810214582
"Zm00001eb231200"	3.00411044032528	0.962430312311656	1.58834395159182e-05	0.00244470199967429
"Zm00001eb249800"	-2.45744205142855	2.97295743417594	1.67586492215976e-05	0.00256387141946803
"Zm00001eb316290"	-2.40315170165202	3.66868014887489	1.71783355563132e-05	0.00260962976649698
"Zm00001eb336410"	-2.43302403995201	3.18537291488107	1.72632619613913e-05	0.00260962976649698
"Zm00001eb379570"	-2.53030669781682	2.34556258266033	1.80390305273019e-05	0.00271076461107313
"Zm00001eb413850"	-2.32652800267743	5.5937573152281	1.93706515554987e-05	0.0028937474523732
"Zm00001eb346800"	-2.5313397248546	2.20382784310174	2.00065890450766e-05	0.00296603133094035
"Zm00001eb322810"	-7.63350326821267	-0.935873730367706	2.02048913314176e-05	0.00296603133094035
"Zm00001eb384070"	-7.63350326821267	-0.935873730367706	2.02048913314176e-05	0.00296603133094035
"Zm00001eb049040"	-3.6466798072569	0.0479340820635519	2.13954130327462e-05	0.00312274660563001
"Zm00001eb170920"	2.43972336982314	2.86409981636046	2.17939034419882e-05	0.00316273126750132
"Zm00001eb104160"	-2.62918182413112	1.63436811552544	2.22226174638965e-05	0.0032066226881427
"Zm00001eb309340"	-2.74740474395433	1.32927052562051	2.47863588836346e-05	0.00355635237406094
"Zm00001eb235510"	2.31115705830805	4.72603250561842	2.52276370209937e-05	0.00359933185272559
"Zm00001eb214700"	-7.56970313963639	-0.991375686235253	2.84940775186659e-05	0.0040251595649141
"Zm00001eb377400"	-2.53298023629489	2.00455313434607	2.85292456168112e-05	0.0040251595649141
"Zm00001eb376710"	2.45183846652594	2.45803655292416	2.88912988379079e-05	0.00405372058169895
"Zm00001eb164390"	-2.63668514790871	1.38367938240475	2.93044865406853e-05	0.00406687961926466
"Zm00001eb383830"	-2.27127758062469	5.5415291105358	2.9305361880825e-05	0.00406687961926466
"Zm00001eb116230"	-2.24577981741785	8.30531819448287	3.03120108329568e-05	0.00417010412622319
"Zm00001eb426920"	-2.35333365235639	3.20577046351625	3.03775895161163e-05	0.00417010412622319
"Zm00001eb187130"	-2.60212723615118	1.48879251676971	3.09483279809567e-05	0.00422561149142137
"Zm00001eb044960"	-2.25977389095398	5.33777923216386	3.20024223221137e-05	0.00434616854167059
"Zm00001eb138650"	-2.26080811446685	5.06204365619749	3.33125423251166e-05	0.00450002832387586
"Zm00001eb203330"	2.27577810643484	4.58728493780937	3.38590689609455e-05	0.00454965563667816
"Zm00001eb359320"	2.32923209785094	3.44152355475443	3.53607400140128e-05	0.00472642817576774
"Zm00001eb364420"	-2.27334211404178	4.22532332309651	3.70719266470745e-05	0.00491667177131327
"Zm00001eb124950"	-2.24044211961116	5.41025325363542	3.71712466566446e-05	0.00491667177131327
"Zm00001eb216000"	2.30350188966343	3.55931127248487	3.76484833012721e-05	0.00495399420683475
"Zm00001eb355690"	-2.74014998271366	1.06789411796624	3.83039247642293e-05	0.00501426017171324
"Zm00001eb353230"	-2.28133318433578	3.69970881684294	3.96138161749661e-05	0.00515177746156366
